timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T21:14:44,0.0,73.1,0.0,46.7
2026-09-07T21:14:46,11.8,73.1,147.6,49.7
2026-09-07T21:14:48,15.8,72.4,189.0,51.3
2026-09-07T21:14:50,9.6,72.1,196.5,51.8
2026-09-07T21:14:52,9.7,72.0,180.9,51.8
2026-09-07T21:14:54,10.2,71.5,176.5,51.8
2026-09-07T21:14:56,10.6,71.4,186.7,51.9
2026-09-07T21:14:58,9.5,71.4,187.1,51.8
2026-09-07T21:15:00,8.5,71.0,126.9,51.8
2026-09-07T21:15:02,10.1,70.9,212.4,51.8
2026-09-07T21:15:04,10.5,71.6,206.1,51.8
2026-09-07T21:15:06,10.5,71.6,188.9,51.9
2026-09-07T21:15:08,10.7,71.5,160.8,51.9
2026-09-07T21:15:10,9.1,71.5,162.4,52.0
2026-09-07T21:15:12,9.6,71.5,234.6,52.0
2026-09-07T21:15:14,7.7,71.4,163.2,52.0
2026-09-07T21:15:16,11.0,72.2,139.8,52.0
2026-09-07T21:15:18,14.1,72.3,187.0,52.0
2026-09-07T21:15:20,10.9,72.4,187.4,52.0
2026-09-07T21:15:22,12.4,73.0,178.8,52.1
2026-09-07T21:15:24,10.8,73.0,205.9,52.0
2026-09-07T21:15:26,9.8,72.9,170.2,52.0
2026-09-07T21:15:28,10.7,72.9,199.9,52.0
2026-09-07T21:15:30,12.8,73.1,221.3,52.1
2026-09-07T21:15:32,11.5,73.4,182.7,52.1
2026-09-07T21:15:34,10.3,73.3,152.1,52.1
2026-09-07T21:15:36,10.2,73.3,203.6,52.1
2026-09-07T21:15:38,11.8,73.4,193.2,52.1
2026-09-07T21:15:40,8.6,73.4,157.1,52.1
2026-09-07T21:15:42,8.3,73.2,182.7,52.1
2026-09-07T21:15:44,10.7,73.1,211.8,52.1
2026-09-07T21:15:46,13.2,73.2,166.2,52.1
2026-09-07T21:15:48,15.1,73.5,178.0,52.1
2026-09-07T21:15:50,9.9,73.5,165.6,52.1
2026-09-07T21:15:52,14.0,73.6,248.3,52.1
2026-09-07T21:15:54,14.9,73.5,205.0,52.2
2026-09-07T21:15:56,11.9,73.0,165.4,52.2
2026-09-07T21:15:58,13.4,72.8,149.0,52.2
2026-09-07T21:16:00,9.9,72.2,184.9,52.2
2026-09-07T21:16:02,8.5,72.2,149.2,52.2
2026-09-07T21:16:04,8.2,72.1,185.9,52.2
2026-09-07T21:16:06,10.3,72.5,202.2,52.2
2026-09-07T21:16:08,8.3,72.5,148.3,52.2
2026-09-07T21:16:10,10.5,72.5,179.4,52.2
2026-09-07T21:16:12,8.3,72.4,187.2,52.2
2026-09-07T21:16:14,7.7,72.3,143.7,52.2
2026-09-07T21:16:16,12.7,72.4,198.8,52.2
2026-09-07T21:16:18,12.1,70.4,169.9,52.2
2026-09-07T21:16:20,14.3,71.2,181.2,52.2
2026-09-07T21:16:22,10.5,71.0,178.0,52.3
2026-09-07T21:16:24,13.0,71.3,171.8,52.3
2026-09-07T21:16:26,9.4,71.0,175.7,52.3
2026-09-07T21:16:28,10.3,71.0,168.6,52.3
2026-09-07T21:16:30,12.3,71.5,164.0,52.3
2026-09-07T21:16:32,12.8,69.9,204.2,52.3
2026-09-07T21:16:34,10.7,69.9,176.3,52.3
2026-09-07T21:16:36,12.1,71.1,193.9,52.3
2026-09-07T21:16:38,10.9,71.4,180.0,52.3
2026-09-07T21:16:40,9.1,71.2,155.0,52.3
2026-09-07T21:16:42,9.8,71.1,229.2,52.3
2026-09-07T21:16:44,9.7,70.9,166.3,52.3
2026-09-07T21:16:46,8.2,70.7,161.6,52.3
2026-09-07T21:16:48,23.9,70.7,666.5,54.3
2026-09-07T21:16:50,34.0,70.7,963.8,56.0
2026-09-07T21:16:52,31.6,70.7,913.5,56.0
2026-09-07T21:16:54,32.5,70.4,920.9,56.0
2026-09-07T21:16:56,29.7,70.4,860.6,56.0
2026-09-07T21:16:58,28.4,70.4,808.1,56.0
2026-09-07T21:17:00,36.3,70.4,1035.2,56.0
2026-09-07T21:17:02,32.3,70.4,857.1,56.0
2026-09-07T21:17:04,38.4,72.3,916.6,56.0
2026-09-07T21:17:06,36.7,73.4,865.6,55.9
2026-09-07T21:17:08,35.4,73.3,970.4,56.0
2026-09-07T21:17:10,35.7,73.3,1033.0,56.0
2026-09-07T21:17:12,34.5,73.1,905.9,56.0
2026-09-07T21:17:14,36.1,72.1,954.1,56.0
2026-09-07T21:17:16,34.3,72.0,1001.1,56.0
2026-09-07T21:17:18,40.2,73.5,1020.1,56.1
2026-09-07T21:17:20,35.7,73.4,944.8,56.1
2026-09-07T21:17:22,32.7,73.4,831.5,56.1
2026-09-07T21:17:24,33.9,73.5,915.8,56.1
2026-09-07T21:17:26,34.0,73.5,913.2,56.0
