timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T15:45:16,0.0,74.3,0.0,104.8
2026-09-07T15:45:18,7.6,74.8,18.7,104.5
2026-09-07T15:45:20,6.3,74.6,93.6,104.7
2026-09-07T15:45:22,7.3,74.6,73.4,104.8
2026-09-07T15:45:24,6.6,74.7,89.0,104.8
2026-09-07T15:45:26,4.9,74.7,83.6,104.8
2026-09-07T15:45:28,8.8,75.2,95.2,104.8
2026-09-07T15:45:30,6.9,75.3,93.7,104.8
2026-09-07T15:45:32,8.2,75.5,89.8,104.7
2026-09-07T15:45:34,8.8,75.6,89.0,104.7
2026-09-07T15:45:36,5.8,75.5,94.5,104.7
2026-09-07T15:45:38,5.7,75.4,86.7,104.7
2026-09-07T15:45:40,8.0,75.7,88.9,104.7
2026-09-07T15:45:42,7.1,75.7,85.8,104.7
2026-09-07T15:45:44,8.6,75.7,92.1,104.7
2026-09-07T15:45:46,7.4,75.5,90.5,104.7
2026-09-07T15:45:48,8.9,75.7,90.6,104.7
2026-09-07T15:45:50,7.8,75.6,78.9,104.7
2026-09-07T15:45:52,7.6,75.5,93.7,104.7
2026-09-07T15:45:54,6.7,75.4,82.7,104.7
2026-09-07T15:45:56,5.4,75.2,99.1,104.7
2026-09-07T15:45:58,4.9,75.1,92.0,104.7
2026-09-07T15:46:00,5.0,75.1,91.3,104.7
2026-09-07T15:46:02,5.4,74.9,94.5,104.7
2026-09-07T15:46:04,7.9,74.9,91.2,104.7
2026-09-07T15:46:06,6.5,74.8,92.1,104.7
2026-09-07T15:46:08,11.0,75.4,88.2,104.7
2026-09-07T15:46:10,8.3,75.0,93.5,104.7
2026-09-07T15:46:12,7.1,75.1,93.7,104.7
2026-09-07T15:46:14,9.1,74.7,74.1,104.7
2026-09-07T15:46:16,9.9,69.1,88.2,104.7
2026-09-07T15:46:18,6.4,69.0,79.7,104.7
2026-09-07T15:46:20,5.7,68.1,85.8,104.7
2026-09-07T15:46:22,6.4,67.8,90.6,104.7
