timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T16:46:08,0.0,72.8,0.0,79.6
2026-09-07T16:46:10,9.1,73.0,32.0,82.5
2026-09-07T16:46:12,5.2,72.9,3.1,82.6
2026-09-07T16:46:14,5.5,72.8,6.2,82.7
2026-09-07T16:46:16,5.6,72.8,6.2,82.7
2026-09-07T16:46:18,5.6,72.6,2.3,82.7
2026-09-07T16:46:20,3.9,72.5,1.6,82.5
2026-09-07T16:46:22,7.0,72.8,2.3,82.6
2026-09-07T16:46:24,5.6,72.9,2.3,82.5
2026-09-07T16:46:26,4.2,72.9,3.9,82.5
2026-09-07T16:46:28,3.8,72.9,6.2,82.5
2026-09-07T16:46:30,3.6,72.6,7.0,82.8
2026-09-07T16:46:32,2.7,72.4,5.5,82.8
2026-09-07T16:46:34,3.3,71.7,3.1,82.9
2026-09-07T16:46:36,4.3,71.3,2.3,82.9
2026-09-07T16:46:38,4.2,71.4,3.9,83.0
2026-09-07T16:46:40,4.2,71.4,3.9,83.0
2026-09-07T16:46:42,6.3,72.0,3.1,83.0
2026-09-07T16:46:44,3.5,71.9,3.1,83.0
2026-09-07T16:46:46,9.8,72.2,2.3,83.1
2026-09-07T16:46:48,9.6,73.1,2.3,83.1
2026-09-07T16:46:50,3.3,73.0,4.7,83.0
2026-09-07T16:46:52,2.1,72.4,3.9,83.2
2026-09-07T16:46:54,3.5,72.4,3.1,83.2
2026-09-07T16:46:56,4.3,72.4,3.9,83.2
2026-09-07T16:46:58,2.5,72.4,3.9,83.2
2026-09-07T16:47:00,3.5,72.4,3.1,83.2
2026-09-07T16:47:02,6.2,73.1,4.7,83.2
2026-09-07T16:47:04,9.1,72.9,2.3,83.2
2026-09-07T16:47:06,4.5,73.1,3.1,83.3
2026-09-07T16:47:08,3.5,72.9,3.9,83.4
2026-09-07T16:47:10,4.6,72.9,4.7,83.4
2026-09-07T16:47:12,3.4,72.6,1.6,83.4
2026-09-07T16:47:14,2.9,72.5,4.7,83.4
2026-09-07T16:47:16,5.5,73.8,2.3,83.4
2026-09-07T16:47:18,3.8,73.6,5.5,83.4
2026-09-07T16:47:20,6.8,74.0,2.3,83.4
2026-09-07T16:47:22,7.3,74.5,5.5,83.4
2026-09-07T16:47:24,5.3,74.3,5.5,83.4
2026-09-07T16:47:26,6.7,73.8,5.5,83.5
2026-09-07T16:47:28,6.6,74.0,5.5,83.5
2026-09-07T16:47:30,7.6,73.9,3.9,83.5
2026-09-07T16:47:32,11.4,74.7,0.0,83.5
2026-09-07T16:47:34,8.9,74.3,3.1,83.5
2026-09-07T16:47:36,8.5,71.9,3.1,83.5
2026-09-07T16:47:38,11.9,72.3,1.6,83.5
2026-09-07T16:47:40,6.7,72.3,3.1,83.5
2026-09-07T16:47:42,6.9,71.9,5.5,83.5
2026-09-07T16:47:44,9.2,73.1,3.1,83.5
2026-09-07T16:47:46,8.5,73.5,5.5,83.5
2026-09-07T16:47:48,15.4,75.0,0.8,83.5
2026-09-07T16:47:50,6.6,74.7,8.6,83.6
2026-09-07T16:47:52,10.7,75.1,7.0,83.6
2026-09-07T16:47:54,6.1,74.3,3.9,83.6
2026-09-07T16:47:56,5.6,74.7,3.9,83.6
2026-09-07T16:47:58,8.8,75.0,1.5,83.6
2026-09-07T16:48:00,5.9,74.7,3.9,83.6
2026-09-07T16:48:02,5.3,73.8,5.5,83.6
2026-09-07T16:48:04,4.1,72.9,6.2,83.6
2026-09-07T16:48:06,4.9,72.9,3.1,83.6
2026-09-07T16:48:08,14.3,72.8,1.6,83.7
2026-09-07T16:48:10,36.8,78.2,7.8,85.0
2026-09-07T16:48:12,20.3,78.9,71.8,86.6
2026-09-07T16:48:14,21.9,79.1,75.0,87.8
2026-09-07T16:48:16,17.9,79.7,14.8,87.9
2026-09-07T16:48:18,26.6,80.9,14.8,88.0
2026-09-07T16:48:20,26.5,82.3,15.6,88.1
2026-09-07T16:48:22,12.2,83.3,19.5,88.3
2026-09-07T16:48:24,6.5,81.9,16.4,88.1
2026-09-07T16:48:26,4.8,82.0,24.2,88.2
2026-09-07T16:48:28,7.0,82.0,16.4,88.4
2026-09-07T16:48:30,9.3,81.9,19.5,88.4
2026-09-07T16:48:32,5.6,81.9,16.4,88.4
