timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T15:33:49,29.6,75.8,0.0,81.1
2026-09-07T15:33:51,11.0,76.4,22.6,82.8
2026-09-07T15:33:53,7.2,76.6,14.8,83.5
2026-09-07T15:33:55,6.8,76.5,7.8,83.5
2026-09-07T15:33:57,6.3,76.5,3.1,83.5
2026-09-07T15:33:59,7.8,76.2,5.5,83.5
2026-09-07T15:34:01,7.2,76.6,0.8,83.5
2026-09-07T15:34:03,8.5,76.7,3.9,83.2
2026-09-07T15:34:05,7.4,76.6,7.8,83.2
2026-09-07T15:34:07,6.4,76.4,6.2,83.2
2026-09-07T15:34:09,6.3,76.6,4.7,83.2
2026-09-07T15:34:11,5.8,76.6,2.3,83.2
2026-09-07T15:34:13,5.8,76.6,5.5,83.2
2026-09-07T15:34:15,5.8,76.4,6.2,83.3
2026-09-07T15:34:17,4.6,76.4,0.0,83.3
2026-09-07T15:34:19,5.8,76.3,6.2,83.3
2026-09-07T15:34:21,4.7,76.4,0.8,83.3
2026-09-07T15:34:23,5.5,76.3,7.0,83.3
2026-09-07T15:34:25,5.0,76.4,0.8,83.2
2026-09-07T15:34:27,8.6,76.7,8.6,83.2
2026-09-07T15:34:29,8.7,76.8,0.8,83.2
2026-09-07T15:34:31,7.3,76.7,0.8,83.2
2026-09-07T15:34:33,6.3,76.7,6.2,83.2
2026-09-07T15:34:35,5.4,76.4,5.5,83.2
2026-09-07T15:34:37,5.0,76.5,1.6,83.2
2026-09-07T15:34:39,8.3,76.8,6.2,83.2
2026-09-07T15:34:41,8.2,78.2,7.8,83.2
2026-09-07T15:34:43,5.4,78.5,8.6,83.3
2026-09-07T15:34:45,6.4,77.8,3.1,83.3
2026-09-07T15:34:47,4.4,78.1,3.9,83.3
2026-09-07T15:34:49,7.1,78.9,5.5,83.3
2026-09-07T15:34:51,12.8,79.4,3.1,83.3
2026-09-07T15:34:53,7.9,78.8,2.3,83.2
2026-09-07T15:34:55,9.4,79.1,3.9,83.2
2026-09-07T15:34:57,12.1,79.5,1.6,83.2
2026-09-07T15:35:00,8.8,79.8,4.7,83.2
2026-09-07T15:35:02,9.2,79.9,8.6,83.3
2026-09-07T15:35:04,4.9,79.6,0.8,83.3
2026-09-07T15:35:06,6.3,79.0,5.5,83.3
2026-09-07T15:35:08,6.3,78.7,2.3,83.3
2026-09-07T15:35:10,7.4,77.9,0.8,83.3
2026-09-07T15:35:12,9.0,77.7,3.1,83.3
2026-09-07T15:35:14,6.4,77.9,0.8,83.3
2026-09-07T15:35:16,6.1,78.0,3.1,83.3
2026-09-07T15:35:18,8.0,77.6,1.6,83.3
2026-09-07T15:35:20,8.5,77.2,6.2,83.3
2026-09-07T15:35:22,5.5,77.2,9.4,83.3
2026-09-07T15:35:24,7.2,77.2,3.1,83.3
2026-09-07T15:35:26,6.0,76.7,6.2,83.3
2026-09-07T15:35:28,3.5,76.6,3.1,83.3
2026-09-07T15:35:30,9.2,76.7,2.3,83.3
2026-09-07T15:35:32,9.3,76.8,3.9,83.3
2026-09-07T15:35:34,5.7,76.7,2.3,83.3
2026-09-07T15:35:36,4.6,76.5,4.7,83.3
2026-09-07T15:35:38,4.7,76.5,5.5,83.3
2026-09-07T15:35:40,6.3,75.4,2.3,83.3
2026-09-07T15:35:42,4.6,75.0,5.5,83.3
2026-09-07T15:35:44,4.5,74.9,3.9,83.3
2026-09-07T15:35:46,5.5,74.7,3.9,83.3
2026-09-07T15:35:48,3.7,74.3,3.9,83.3
2026-09-07T15:35:50,4.4,74.2,3.1,83.4
2026-09-07T15:35:52,12.6,75.7,3.9,83.4
2026-09-07T15:35:54,12.6,77.2,84.3,86.2
2026-09-07T15:35:56,11.8,75.8,74.0,87.1
2026-09-07T15:35:58,6.7,75.8,34.3,87.9
2026-09-07T15:36:00,6.8,76.1,16.4,88.2
2026-09-07T15:36:02,9.3,76.0,15.6,88.4
2026-09-07T15:36:04,7.0,75.9,22.6,88.7
2026-09-07T15:36:06,5.7,75.7,18.0,88.7
2026-09-07T15:36:08,4.2,75.6,18.7,87.9
2026-09-07T15:36:10,4.7,75.5,21.9,88.0
2026-09-07T15:36:12,6.4,75.5,21.1,88.0
2026-09-07T15:36:14,8.0,72.1,16.4,88.0
2026-09-07T15:36:16,12.4,74.3,13.3,88.0
2026-09-07T15:36:18,8.4,74.6,15.6,88.1
2026-09-07T15:36:20,4.9,74.5,18.7,88.1
2026-09-07T15:36:22,7.1,74.5,21.1,88.1
2026-09-07T15:36:24,9.6,74.5,10.9,88.1
2026-09-07T15:36:26,7.0,74.4,14.1,88.2
2026-09-07T15:36:28,6.9,74.4,14.8,88.2
2026-09-07T15:36:30,7.3,74.7,14.1,88.2
2026-09-07T15:36:32,5.2,74.7,21.1,88.2
2026-09-07T15:36:34,5.4,74.7,18.7,88.2
2026-09-07T15:36:36,5.1,74.7,25.8,88.3
2026-09-07T15:36:38,7.3,74.7,18.7,88.4
2026-09-07T15:36:40,7.3,74.6,23.4,88.4
2026-09-07T15:36:42,6.1,74.7,15.6,88.4
2026-09-07T15:36:44,7.2,74.6,14.8,88.4
2026-09-07T15:36:46,6.0,74.6,18.0,88.5
2026-09-07T15:36:48,6.5,74.7,18.0,88.6
2026-09-07T15:36:50,8.0,74.7,22.6,88.6
2026-09-07T15:36:52,7.1,74.5,18.0,88.6
2026-09-07T15:36:54,6.5,74.6,21.9,88.8
2026-09-07T15:36:56,7.7,74.5,17.1,88.9
2026-09-07T15:36:58,7.7,72.2,21.1,88.9
2026-09-07T15:37:00,13.3,76.1,18.0,88.9
2026-09-07T15:37:02,11.2,76.9,22.6,88.9
2026-09-07T15:37:04,12.1,79.1,30.5,88.9
2026-09-07T15:37:06,10.7,80.4,18.0,88.9
2026-09-07T15:37:08,6.6,79.5,14.8,88.9
2026-09-07T15:37:10,9.1,77.0,26.5,89.0
2026-09-07T15:37:12,6.3,76.8,17.2,89.0
2026-09-07T15:37:14,6.0,76.5,23.4,89.0
2026-09-07T15:37:16,7.2,76.5,19.5,89.0
2026-09-07T15:37:18,6.4,76.2,21.0,89.0
2026-09-07T15:37:20,6.5,76.3,19.5,89.0
2026-09-07T15:37:22,4.2,76.0,16.4,89.0
2026-09-07T15:37:24,6.0,76.3,25.8,89.2
2026-09-07T15:37:26,5.6,76.2,20.3,89.2
2026-09-07T15:37:28,5.3,76.1,22.6,89.2
2026-09-07T15:37:30,8.9,78.5,15.6,89.2
2026-09-07T15:37:32,9.0,80.2,19.5,89.2
2026-09-07T15:37:34,9.1,81.2,24.2,89.2
2026-09-07T15:37:36,4.7,80.9,21.9,89.2
2026-09-07T15:37:38,4.4,80.7,21.9,89.2
2026-09-07T15:37:40,6.1,80.8,26.5,89.3
2026-09-07T15:37:42,6.0,80.3,18.7,89.3
2026-09-07T15:37:44,9.7,75.4,21.9,89.3
2026-09-07T15:37:46,5.5,75.3,18.0,89.3
2026-09-07T15:37:48,6.3,74.1,17.2,89.6
2026-09-07T15:37:50,6.1,73.4,18.0,89.6
2026-09-07T15:37:52,6.0,73.3,36.7,90.6
2026-09-07T15:37:54,11.1,74.2,76.5,94.0
2026-09-07T15:37:56,8.2,74.1,21.1,96.8
2026-09-07T15:37:58,8.2,74.3,0.0,96.8
2026-09-07T15:38:00,9.1,73.0,0.0,96.8
2026-09-07T15:38:02,4.4,72.9,0.0,96.8
2026-09-07T15:38:04,3.8,72.7,0.8,96.8
2026-09-07T15:38:06,4.3,72.5,0.0,96.8
2026-09-07T15:38:08,5.3,72.0,0.0,96.8
2026-09-07T15:38:10,5.2,72.0,1.6,96.8
2026-09-07T15:38:12,8.7,73.4,0.0,96.8
