Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788766147,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788766148,1,GET,GET /articles/{id} (detail),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,4.86670000009326,4.86670000009326,4.86670000009326,4.86670000009326,3982.0
1788766148,1,POST,[setup] POST /auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766148,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,5,116.88500000002477,4.86670000009326,228.9032999999563,2080.0
1788766149,1,GET,GET /articles/{id} (detail),0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,2,0,5,6.887000000006083,4.86670000009326,8.907299999918905,2659.0
1788766149,1,POST,[setup] POST /auth/login,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766149,1,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,3,0,9,80.89243333332281,4.86670000009326,228.9032999999563,1832.0
1788766150,1,GET,GET /articles/{id} (detail),0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,3,0,5,6.22280000000804,4.86670000009326,8.907299999918905,3072.0
1788766150,1,POST,[setup] POST /auth/login,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766150,1,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,4,0,5,61.8929249999951,4.86670000009326,228.9032999999563,2348.5
1788766151,1,GET,GET /articles/{id} (detail),1.000000,0.000000,5,5,9,9,9,9,9,9,9,9,9,4,0,5,5.776625000009972,4.4381000000157655,8.907299999918905,3210.0
1788766151,1,POST,[setup] POST /auth/login,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766151,1,,Aggregated,1.500000,0.000000,5,5,9,9,9,9,9,9,9,9,9,5,0,5,50.401959999999235,4.4381000000157655,228.9032999999563,2603.6
1788766152,1,GET,GET /articles/{id} (detail),1.000000,0.000000,7,7,9,9,9,9,9,9,9,9,9,5,0,5,5.977580000035232,4.4381000000157655,8.907299999918905,3364.8
1788766152,1,POST,[setup] POST /auth/login,0.333333,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766152,1,,Aggregated,1.333333,0.000000,7,7,9,9,9,9,9,9,9,9,9,6,0,5,43.131866666688744,4.4381000000157655,228.9032999999563,2833.6666666666665
1788766153,1,GET,GET /articles/{id} (detail),1.000000,0.000000,7,7,7,9,9,9,9,9,9,9,9,6,0,5,6.091533333384784,4.4381000000157655,8.907299999918905,3513.1666666666665
1788766153,1,POST,[setup] POST /auth/login,0.333333,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766153,1,,Aggregated,1.333333,0.000000,7,7,7,9,9,9,9,9,9,9,9,7,0,7,37.92178571432357,4.4381000000157655,228.9032999999563,3036.714285714286
1788766154,1,GET,GET /articles/{id} (detail),0.800000,0.000000,7,7,7,7,9,9,9,9,9,9,9,7,0,6,6.034685714309619,4.4381000000157655,8.907299999918905,3361.1428571428573
1788766154,1,POST,[setup] POST /auth/login,0.200000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766154,1,,Aggregated,1.000000,0.000000,7,7,7,7,9,9,9,9,9,9,9,8,0,6,33.89326250001545,4.4381000000157655,228.9032999999563,2963.25
1788766155,1,GET,GET /articles/{id} (detail),1.000000,0.000000,7,7,9,9,10,10,10,10,10,10,10,8,0,6,6.511912500030803,4.4381000000157655,9.85250000007909,3171.25
1788766155,1,POST,[setup] POST /auth/login,0.166667,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766155,1,,Aggregated,1.166667,0.000000,7,7,9,9,10,10,10,10,10,10,10,9,0,7,31.22206666668919,4.4381000000157655,228.9032999999563,2838.6666666666665
1788766156,1,GET,GET /articles/{id} (detail),1.000000,0.000000,7,7,9,9,10,10,10,10,10,10,10,8,0,6,6.511912500030803,4.4381000000157655,9.85250000007909,3171.25
1788766156,1,POST,[setup] POST /auth/login,0.166667,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766156,1,,Aggregated,1.166667,0.000000,7,7,9,9,10,10,10,10,10,10,10,9,0,7,31.22206666668919,4.4381000000157655,228.9032999999563,2838.6666666666665
1788766157,1,GET,GET /articles/{id} (detail),0.857143,0.000000,7,7,9,9,10,10,10,10,10,10,10,9,0,6,6.277800000033393,4.404900000054113,9.85250000007909,2941.6666666666665
1788766157,1,POST,[setup] POST /auth/login,0.142857,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766157,1,,Aggregated,1.000000,0.000000,7,7,9,9,10,10,10,10,10,10,10,10,0,6,28.540350000025683,4.404900000054113,228.9032999999563,2665.3
1788766158,1,GET,GET /articles/{id} (detail),0.888889,0.000000,6,7,7,7,10,10,10,10,10,10,10,10,0,5,6.189370000038252,4.404900000054113,9.85250000007909,3064.8
1788766158,1,POST,[setup] POST /auth/login,0.111111,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
1788766158,1,,Aggregated,1.000000,0.000000,6,7,7,7,10,10,10,10,10,10,10,11,0,6,26.43609090912171,4.404900000054113,228.9032999999563,2802.3636363636365
1788766159,1,GET,GET /articles/{id} (detail),0.888889,0.000000,6,7,7,7,10,10,10,10,10,10,10,10,0,5,6.189370000038252,4.404900000054113,9.85250000007909,3064.8
1788766159,1,POST,[setup] POST /auth/login,0.111111,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0
